id,series_title,issue_number,publisher,release_year,variant_name,created_by
8bc6e7e5-e94a-471f-80b1-1d83e59ca64d,Amazing Spider-Man,1,Marvel,2008,,
1b579106-6544-4fab-bbab-e37d608269a2,Amazing Spider-Man,2,Marvel,2007,,
b3948504-457e-409a-857d-fa67db7045d2,Amazing Spider-Man,3,Marvel,2008,,
eddae66f-3ed0-4cd3-af95-b0449404bd87,Amazing Spider-Man,4,Marvel,1977,,
c1cca7c8-aad7-4dd1-9cfb-c3241d3c8b6f,Amazing Spider-Man,5,Marvel,2005,,
a7d88278-a0c2-4800-a344-fd35c4e16cfc,Amazing Spider-Man,6,Marvel,2004,,
f4c9e699-7603-4ac2-85ee-20e60d70d0e3,Amazing Spider-Man,7,Marvel,1999,,
e99da729-b60c-4b73-b318-612fc8cd999e,Amazing Spider-Man,8,Marvel,1989,,
390ba544-76e3-4840-9625-7786170f335b,Amazing Spider-Man,9,Marvel,1960,,
f10caced-33b9-45eb-b9d6-3748438e653c,Amazing Spider-Man,10,Marvel,2003,,
f4bc3c53-80c8-48bc-ad43-86c1b22d7c9d,Amazing Spider-Man,11,Marvel,1964,,
ba09704c-48c6-4f36-9a0e-b6545226ca68,Amazing Spider-Man,12,Marvel,1975,,
81bddd0d-7a59-4caa-b9ea-16b92bcd027e,Amazing Spider-Man,13,Marvel,2014,,
95c33b00-eccb-464c-8e9d-01fd7ebcceb4,Amazing Spider-Man,14,Marvel,1997,,
1c1c3ab3-75c8-4aa8-9ae1-21ba27279f1a,Amazing Spider-Man,15,Marvel,2019,,
05f4bdbd-dd57-4c57-b6cd-eba4cd880f82,Amazing Spider-Man,16,Marvel,1988,,
ff13c244-2809-4bc3-890e-4abd884cf339,Amazing Spider-Man,17,Marvel,1963,,
2b617b4b-ed61-45c7-82e9-1aac24a9d58f,Amazing Spider-Man,18,Marvel,2024,,
e6635a89-db1c-4009-b8f3-7808440e6627,Amazing Spider-Man,19,Marvel,2012,,
49b0c2a5-6135-4c58-ac13-d01a6d36a70d,Amazing Spider-Man,20,Marvel,1986,,
72239525-8d91-425c-b168-42aebca85f74,Amazing Spider-Man,21,Marvel,2019,,
d1fa1958-f6ec-4a64-b2be-e4dd004e7b80,Amazing Spider-Man,22,Marvel,1967,,
07e2ca65-87f7-4efa-9cd3-12ec61e58566,Amazing Spider-Man,23,Marvel,1986,,
d02a603e-ee9f-434f-9a27-9106cac67e8c,Amazing Spider-Man,24,Marvel,1994,,
ddf888bc-1297-4fa3-9e8f-8de5a0ecd939,Amazing Spider-Man,25,Marvel,2022,,
6d02d041-9df6-42a4-ae0b-0c06afb328d9,Amazing Spider-Man,26,Marvel,2007,,
54cdb2f1-a82a-47c0-b939-953d192c8dab,Amazing Spider-Man,27,Marvel,1990,,
cf9d2f83-9942-4452-a6b6-71f5dbfa6ce1,Amazing Spider-Man,28,Marvel,2003,,
626cd935-a34d-43ef-bbb6-64589cf4fc8f,Amazing Spider-Man,29,Marvel,1972,,
30fd4144-295e-42ab-9b55-8207c04dc1ea,Amazing Spider-Man,30,Marvel,1981,,
