source,source_issue_url,external_issue_id,comicvine_volume_id,series_year,series_title,series_gcd_id,gcd_issue_id,match_confidence,issue_title,issue_number,publisher,cover_date,in_store_date,description,original_cover_url,storage_path
comicvine,https://comicvine.gamespot.com/api/issue/4000-599942/,599942,101922,2017,Babyteeth,,,unresolved,Mother of God,1,Aftershock Comics,2017-06-30,2017-06-07,"<p><em>NEW SERIES! Sadie Ritter is sixteen years old, nine months pregnant, and scared out of her sweet nerdy mind. Having a baby that young is tough, but with the support of her loving family behind her, everything should be okay. OH YEAH, and also her baby is the antichrist and it's going to break open the barriers between the earthly and demonic planes and unleash eternal suffering to all of humankind. Other than that, though...should be fine. From the writer of Buzzkill, Paybacks, Redneck and the break-out hit God Country comes a pulse-pounding new series with art from THE REVISIONIST's Garry Brown!</em></p><h4>List of covers and their creators:</h4><table data-max-width=""true""><thead><tr><th scope=""col"">Cover</th><th scope=""col"">Name</th><th scope=""col"">Creator(s)</th><th scope=""col"">Sidebar Location</th></tr></thead><tbody><tr><td>A</td><td>Cover A</td><td>Garry Brown</td><td>1</td></tr><tr><td>B</td><td>Cover B</td><td>Elizabeth Torque</td><td>4</td></tr><tr><td>RE</td><td>Midtown Comics Exclusive Variant Cover</td><td>Francesco Francavilla</td><td>5</td></tr><tr><td>RE</td><td>Nerd Store Exclusive Variant Cover</td><td>Shelby Robertson</td><td>2</td></tr><tr><td>RE</td><td>Nerd Store Exclusive Virgin Variant Cover</td><td>Shelby Robertson</td><td>3</td></tr></tbody></table>",https://comicvine.gamespot.com/a/uploads/original/6/67663/5893170-01.jpg,comicvine/babyteeth/vol-101922/599942-mother-of-god.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-667731/,667731,101922,2018,Babyteeth,,,unresolved,Son of a Bitch,10,Aftershock Comics,2018-04-30,2018-04-25,"<p><em>The end of our first year finally brings us to Palestine, and it is there that we unleash our biggest reveal in the series so far. It's all been leading to this, folks. And after this issue, nothing will ever be the same again! From Donny Cates, the writer of Thanos, Dr. Strange, Buzzkill, Paybacks, Redneck and the breakout hit God Country, comes a pulse-pounding new series with art from THE REVISIONIST's Garry Brown!</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/6397284-10.jpg,comicvine/babyteeth/vol-101922/667731-son-of-a-bitch.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-672918/,672918,101922,2018,Babyteeth,,,unresolved,Cradle,11,Aftershock Comics,2018-06-12,2018-06-13,"<p><em>The story of the Antichrist and the people who love him continues as we enter into the most terrifying chapter of our journey so far: THE TERRIBLE TWOS! Plus, who is our mysterious new storyteller!? And what secrets about the fate of Clark do they hold?! Find out here, as a bold new direction in BABYTEETH begins!</em></p><p><em>From Donny Cates, the writer of Thanos, Dr. Strange, Buzzkill, Paybacks, Redneck and the breakout hit God Country, comes a pulse-pounding new series with art from THE REVISIONIST's Garry Brown!</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/6476536-11.jpg,comicvine/babyteeth/vol-101922/672918-cradle.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-679930/,679930,101922,2018,Babyteeth,,,unresolved,Birthday,12,Aftershock Comics,2018-08-15,2018-08-15,"<p><em>Things for Sadie and Clark have gone from bad to worse as death, doom and gloom befall them-in that order! Plus, find out what other horrible things are happening to Sadie's other family members! This is the feel-good book of AfterShock!</em></p><p><em>From Donny Cates (RELAY, Thanos, Venom, Dr. Strange, God Country, Redneck) and Garry Brown (THE REVISIONIST) comes a pulse-pounding series that HAD to be told at AfterShock!</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/6567009-12.jpg,comicvine/babyteeth/vol-101922/679930-birthday.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-689890/,689890,101922,2018,Babyteeth,,,unresolved,The Goddamned Devil,13,Aftershock Comics,2018-10-24,2018-10-24,"<p><em>The saga of Sadie Ritter and her adorable little hellspawn continue as the search for Clark and Heather takes some drastic and deadly turns. What lurks in the crimson shadows of the Red Realm? Probably nothing good. But you're all about to find out!</em></p><p><em>From Donny Cates (RELAY, Thanos, Venom, Doctor Strange, God Country, Redneck) and Garry Brown (THE REVISIONIST) comes BABYTEETH-a pulse-pounding horror series that HAD to be told at AfterShock!</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/6658496-13.jpg,comicvine/babyteeth/vol-101922/689890-the-goddamned-devil.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-697576/,697576,101922,2019,Babyteeth,,,unresolved,Welcome Back,14,Aftershock Comics,2019-01-16,2019-01-16,"<p><em>So, hey, welcome back, folks. How about that issue 13, huh? I told you it was bananas. Anyway, look, I'd like to be able to tell you this one is easier or nicer somehow, but real-ly...have any issues of this book not been insane and weird? Would you even believe me If I said it was? No. You wouldn't. So, yeah, this issue is more of all that. Plus: BETRAYAL! (Dramatic music cue!)</em></p><p><em>From Donny Cates (RELAY, Thanos, Venom, Doctor Strange, God Country, Redneck) and Garry Brown (THE REVISIONIST) comes BABYTEETH-a pulse-pounding horror series that just HAD to be told-and AfterShock is telling it!</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/6762133-14.jpg,comicvine/babyteeth/vol-101922/697576-welcome-back.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-715358/,715358,101922,2019,Babyteeth,,,unresolved,Get Thee Behind Me,15,Aftershock Comics,2019-08-08,2019-08-07,"<p><em>Clark's father has been revealed and he's...great? Wait, that can't be right. Right? Well, only one way to find out, friends! ""Cradle"" ends here with one of the biggest moments in BABYTEETH history! From Donny Cates, the writer of Buzzkill, Paybacks, Redneck and the breakout hit God Country, comes a pulse-pounding new series with art from THE REVISIONIST's Garry Brown!</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/7033746-15.jpg,comicvine/babyteeth/vol-101922/715358-get-thee-behind-me.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-718805/,718805,101922,2019,Babyteeth,,,unresolved,Revelations,16,Aftershock Comics,2019-09-12,2019-09-11,"<p><em>2 Corinthians 11:14... And no wonder, for even Satan disguises himself as an angel of light.</em></p><p><em>From Donny Cates, the writer of Venom, Paybacks, Redneck and the breakout hit God Country, comes this pulse-pounding series with art from THE REVISIONIST's Garry Brown!</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/7068544-16.jpg,comicvine/babyteeth/vol-101922/718805-revelations.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-847323/,847323,101922,2021,Babyteeth,,,unresolved,Homecoming,17,Aftershock Comics,2021-05-06,2021-05-05,"<p><em>BABYTEETH is back, baby! At long last, the FINAL FOUR issues of one of AfterShock’s most talked about series – presented MONTHLY! The end starts NOW!</em></p><p><em>The end is coming. The forces are aligned. The inevitable is nigh. The apocalypse...is here.</em></p><p><em>From Donny Cates, the writer of Crossover, Venom, Thanos, Redneck and the breakout hit God Country, come the long-awaited final chapters in this pulse-pounding hit series with art from THE REVISIONIST’s Garry Brown!</em></p><p><em>“Seriously guys, just go buy this comic…BABYTEETH is consistently one of the best comics out there.” – James Ferguson, HorrorTalk</em></p><h4>List of covers and their creators:</h4><table data-max-width=""true""><thead><tr><th scope=""col"">Cover</th><th scope=""col"">Name</th><th scope=""col"">Creator(s)</th><th scope=""col"">Sidebar Location</th></tr></thead><tbody><tr><td>Reg</td><td>Regular Cover</td><td>Garry Brown &amp; Mark Englert</td><td>1</td></tr><tr><td>RI</td><td>1:15 Retailer Incentive Variant Cover</td><td>Charlie Adlard</td><td>2</td></tr><tr><td>Var</td><td>Variant Cover</td><td>Michael Gaydos &amp; David Baron</td><td>Missing</td></tr></tbody></table>",https://comicvine.gamespot.com/a/uploads/original/6/67663/7952071-17.jpg,comicvine/babyteeth/vol-101922/847323-homecoming.jpg
comicvine,https://comicvine.gamespot.com/api/issue/4000-858692/,858692,101922,2021,Babyteeth,,,unresolved,Temple,18,Aftershock Comics,2021-06-10,2021-06-09,"<p><em>The world is ending. Seems like the perfect time for a family reunion.</em></p><p><em>“Seriously guys, just go buy this comic…BABYTEETH is consistently one of the best comics out there.” – James Ferguson, HorrorTalk</em></p>",https://comicvine.gamespot.com/a/uploads/original/6/67663/8016766-18.jpg,comicvine/babyteeth/vol-101922/858692-temple.jpg
